name,opt_out_link,covered_by,completed
01Advertising Inc.,https://app.termly.io/notify/d1321341-0e82-4d8c-afaf-c4940d46c171,,False
"180 By Two, LLC",https://privacyportal.onetrust.com/webform/e32c5e49-85c5-4969-bfa8-8cde49952e1f/6034339d-69de-41fc-829f-7b8b51d9fabe,,False
"33Across, Inc.",https://udp.33across.com/udp_opt_out/cookie_opt_out,,False
"33Across, Inc.",https://www.33across.com/wp-content/uploads/2020/04/33Across-CCPA-Notice-Collection-Policy_US.pdf,,False
360 Media Direct,https://360-media-direct.privacy.saymine.io/360_Media_Direct,,False
4C Insights,https://www.mediaocean.com/your-privacy-rights,,False
4C Insights Inc.,https://www.mediaocean.com/your-privacy-rights,,False
4EYES AI Inc,https://www.4-eyes.ai/privacy-policy?cord_section=privacy_options_dns,,False
"4Eyes.Ai, Inc.",https://www.4-eyes.ai/privacy-policy?cord_section=privacy_options_dns,,False
4Legalleads,https://www.4legalleads.com/removal/,,False
"5X5 Us, LLC",https://5x5data.com/opt-out-preferences/,,False
6SENSE INSIGHTS Inc,https://6sense.com/privacy-center/,,False
"6Sense Insights, Inc.",https://6sense.com/privacy-center/,,False
"ACCUDATA INTEGRATED Marketing, Inc.",https://privacy.deepsync.com/,,False
AFFINITY ANSWERS CORPORATION,https://www.affinityanswers.com/your-privacy-choices/,,False
AIS Infosource LP,https://www.aisinfo.com/privacy?hsLang=en#california-privacy-rights,,False
AIS Portfolio Services LLC,https://www.aisinfo.com/privacy?hsLang=en#california-privacy-rights,,False
"AIS Recovery Solutions, LLC",https://aisrecovery.com/privacy-policy/#california,,False
ALC LLC,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/f54a1b10-bb5d-4c99-9521-3e08dc527583,,False
ALL GOOD MEDIA,https://attribits.com/do-not-sell,,False
ANALYTICSIQ Inc,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,,False
ANCHOR COMPUTER Inc,https://ecom2.anchorcomputer.com/privacyrequest,,False
ANTERIAD LLC,https://privacyportal.onetrust.com/webform/e32c5e49-85c5-4969-bfa8-8cde49952e1f/6034339d-69de-41fc-829f-7b8b51d9fabe,,False
ASL Marketing,https://privacy.deepsync.com/,,False
ATDATA LLC,https://instantdata.atdata.com/optout,,False
ATTOM Data Solutions,https://www.attomdata.com/privacy/ccpa-request-form-7233695024/,,False
ATTOM Data Solutions LLC,https://www.attomdata.com/privacy/ccpa-request-form-7233695024/,,False
AUDIENCE ACUITY Inc,https://www.audienceacuity.com/opt-out-of-database,,False
"AVRICK Direct, Inc.",https://privacy.avrickdirect.com/,,False
"AWL Holdings, LLC",https://dnc.allwebleads.com/Unsubscribe,,False
AWL Inc,https://dnc.allwebleads.com/Unsubscribe,,False
Accenture LLP,https://www.accenture.com/content/acom/us-en/support/form-do-not-sell-my-personal-information,,False
Accenture LLP,https://www.accenture.com/us-en/support/form-do-not-sell-my-personal-information,,False
Accudata Integrated Marketing,https://privacy.deepsync.com/,,False
"Accudata Integrated Marketing, Inc.",https://optout.accudata.com,,False
Accuity Inc.,https://solutions.risk.lexisnexis.com/PreferenceCenter,,False
Accuity Inc.,https://consumer.risk.lexisnexis.com/request#california,,False
Accurate Append Inc,https://clients.accurateappend.com/Public/OptOut,,False
Accurate Append Inc.,https://clients.accurateappend.com/Public/OptOut,,False
"Ach, Address Clearing House",https://www.achcoop.com/do-not-sell-my-personal-info,,False
"Activimpact, LLC",https://www.activimpact.ai/dsar?hsLang=en,,False
Acxiom LLC,https://www.acxiom.com/what-we-are-thinking/california-consumer-privacy-act/for-consumers/,,False
Adadapted Inc.,https://www.adadapted.com/legal/do-not-sell,,False
Address Clearing House,https://www.achcoop.com/do-not-sell-my-personal-info,,False
"Adept Id, Inc.",https://www.adept-id.com/opt-out-preferences/,,False
Adsquare GmbH,https://adsquare.com/privacy/us_privacy_supplement/#goto-contact-us,,False
Adstra LLC,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/f54a1b10-bb5d-4c99-9521-3e08dc527583,,False
Advertise4Sales Inc,https://www.4legalleads.com/removal#lp-pom-block-12,,False
Advertise4Sales LLC,https://www.4legalleads.com/removal,,False
"Advisortarget, LLC",https://www.finsum.com/index.php/what-we-do/your-privacy-choices,,False
Affinity Answers Corporation,https://www.affinityanswers.com/your-privacy-choices/,,False
Affinity Solutions,https://affinitysolutions-privacy.my.onetrust.com/webform/a564cfa1-53bf-4c10-bf95-cd907432d7e8/7e4e6bf3-6562-454e-8c73-6a7bd1f4b336,,False
Aidentified LLC,https://www.aidentified.com/delete-my-data,,False
"Aidentified, Inc.",https://www.aidentified.com/delete-my-data,,False
"Alc, Inc.",https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/f54a1b10-bb5d-4c99-9521-3e08dc527583,,False
"Alikeaudience, Inc.",https://privacy-optout.alikeaudience.com/,,False
All Good Media LLC,https://www.attribits.com/do-not-sell,,False
"All Good Media, LLC",https://www.attribits.com/do-not-sell,,False
All The Way Up LTD,https://swordfishapp.com/optout,,False
All Web Leads Inc,https://dnc.allwebleads.com/Unsubscribe,,False
"All Web Leads, Inc",https://dnc.allwebleads.com/Unsubscribe,,False
Alliant Cooperative Data Solutions,https://privacyportal-cdn.onetrust.com/dsarwebform/591ac1c1-3a1e-496f-9e43-ff4afb5fef85/2b52262e-8ada-4725-b86e-e4b960336f96.html,,False
Alliant Cooperative Data Solutions LLC,https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Falliantinsight.com%2Fdata-services-and-website-privacy-policy%2F&data=05%7C02%7Ccroeun%40alliantdata.com%7C3139381d40eb42ddaa4808dc24319b32%7C204e535aa01e40b1b2cfd429f65f4d19%7C0%7C0%7C638425043208580371%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=oy2E%2Bi%2F4UWgkMziUlbYotlB9lXOYHb4lz3ABjNq4n7U%3D&reserved=0,,False
"Alliant Cooperative Data Solutions, LLC",https://privacyportal-cdn.onetrust.com/dsarwebform/591ac1c1-3a1e-496f-9e43-ff4afb5fef85/2b52262e-8ada-4725-b86e-e4b960336f96.html,,False
"Alliant Cooperative Data Solutions, LLC",https://alliantinsight.com/data-services-and-website-privacy-policy/,,False
Alphonso Inc.,https://alphonso.tv/privacy/ccpa/,,False
Alphonso Inc.,https://choice.alphonso.tv/donotsell,,False
"Altair Data Resources, Inc.",https://www.altairdata.com/altair-consumer-info/,,False
"Altisource Holdings, LLC",https://www.altisource.com/us-consumer-privacy-notice,,False
Amerilist Inc,https://www.amerilist.com/optout,,False
Amplemarket,https://www.amplemarket.com/legal/do-not-sell-my-info,,False
AnalyticsIQ Inc.,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,,False
"AnalyticsIQ, Inc.",https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,,False
Analyticsiq,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,,False
Analyticsiq Inc.,https://privacyportal.onetrust.com/webform/f6a59500-f900-4652-b030-0cd51afe15a5/87ca07e4-e06c-4ad8-9aa6-ccbbaa8750c1,,False
Anchor Computer,https://ecom2.anchorcomputer.com/privacyrequest,,False
Anchor Computer Inc.,https://ecom2.anchorcomputer.com/privacyrequest,,False
"Anchor Computer, Inc",https://ecom2.anchorcomputer.com/privacyrequest,,False
"Anchor Computer, Inc.",https://ecom2.anchorcomputer.com/privacyrequest,,False
Andrews Wharton Inc.,https://www.andrewswharton.com/your-privacy-choices,,False
"Andrews Wharton, Inc",https://www.andrewswharton.com/your-privacy-choices,,False
"Anne Lewis Strategies, LLC",https://optout.networkadvertising.org/?c=1,,False
"Ansonia Credit Data, Inc.",https://myprivacy.equifax.com/opt-in-opt-out/personal-info/,,False
Anteriad,https://privacyportal.onetrust.com/webform/e32c5e49-85c5-4969-bfa8-8cde49952e1f/6034339d-69de-41fc-829f-7b8b51d9fabe,,False
"Anteriad, LLC",https://privacyportal.onetrust.com/webform/e32c5e49-85c5-4969-bfa8-8cde49952e1f/6034339d-69de-41fc-829f-7b8b51d9fabe,,False
"Apihub, Inc",https://www.clearbit.com/ccpa-opt-out,,False
"Apihub, Inc.",https://www.clearbit.com/ccpa-opt-out,,False
"Apollo Interactive, Inc.",https://www.apollointeractive.com/data-rights.php,,False
"Apollo Interactive, LLC",https://www.apollointeractive.com/data-rights.php,,False
Appscience,https://appsci.io/do-not-sell-my-info,,False
Appscience,https://www.appscience.ai/do-not-sell-my-info,,False
Aristotle International Inc.,https://www.aristotle.com/privacy/do-not-sell-my-personal-info/,,False
"Aristotle International, Inc.",https://www.aristotle.com/privacy/do-not-sell-my-personal-info/,,False
